"","COMMUNE","LAU2","CMCODE"
"1","Beaufort","1001","CM06001"
"2","Bech","1002","CM06002"
"3","Beckerich","0701","CM03001"
"4","Berdorf","1003","CM06003"
"5","Bertrange","0301","CM11001"
"6","Bettembourg","0201","CM10001"
"7","Bettendorf","0601","CM02001"
"8","Betzdorf","1101","CM07001"
"9","Bissen","0402","CM12001"
"10","Biwer","1102","CM07002"
"11","Boulaide","0801","CM05001"
"12","Bourscheid","0602","CM02002"
"13","Bous","1201","CM08001"
"14","Clervaux","0501","CM01001"
"15","Colmar-Berg","0401","CM12002"
"16","Consdorf","1004","CM06004"
"17","Contern","0302","CM11002"
"18","Dalheim","1202","CM08002"
"19","Diekirch","0603","CM02003"
"20","Differdange","0202","CM10002"
"21","Dippach","0101","CM09001"
"22","Dudelange","0203","CM10003"
"23","Echternach","1005","CM06005"
"24","Ell","0703","CM03002"
"25","Erpeldange-sur-Sûre","0604","CM02004"
"26","Esch-sur-Alzette","0204","CM10004"
"27","Esch-sur-Sûre","0802","CM05002"
"28","Ettelbruck","0605","CM02005"
"29","Feulen","0606","CM02006"
"30","Fischbach","0404","CM12003"
"31","Flaxweiler","1103","CM07003"
"32","Frisange","0205","CM10005"
"33","Garnich","0102","CM09002"
"34","Goesdorf","0804","CM05003"
"35","Grevenmacher","1104","CM07004"
"36","Grosbous","0705","CM03003"
"37","Habscht","0103","CM09003"
"38","Heffingen","0405","CM12004"
"39","Helperknapp","0403","CM12005"
"40","Hesperange","0303","CM11003"
"41","Junglinster","1105","CM07005"
"42","Käerjeng","0104","CM09004"
"43","Kayl","0206","CM10006"
"44","Kehlen","0105","CM09005"
"45","Kiischpelt","0805","CM05004"
"46","Koerich","0106","CM09006"
"47","Kopstal","0107","CM09007"
"48","Lac de la Haute Sûre","0806","CM05005"
"49","Larochette","0406","CM12006"
"50","Lenningen","1203","CM08003"
"51","Leudelange","0207","CM10007"
"52","Lintgen","0407","CM12007"
"53","Lorentzweiler","0408","CM12008"
"54","Luxembourg","0304","CM11004"
"55","Mamer","0108","CM09008"
"56","Manternach","1106","CM07006"
"57","Mersch","0409","CM12009"
"58","Mertert","1107","CM07007"
"59","Mertzig","0607","CM02007"
"60","Mondercange","0208","CM10008"
"61","Mondorf-les-Bains","1204","CM08004"
"62","Niederanven","0305","CM11005"
"63","Nommern","0410","CM12010"
"64","Parc Hosingen","0503","CM01002"
"65","Pétange","0209","CM10009"
"66","Préizerdaul","0702","CM03004"
"67","Putscheid","0902","CM04001"
"68","Rambrouch","0704","CM03005"
"69","Reckange-sur-Mess","0210","CM10010"
"70","Redange","0706","CM03006"
"71","Reisdorf","0608","CM02008"
"72","Remich","1205","CM08005"
"73","Roeser","0211","CM10011"
"74","Rosport-Mompach","1006","CM06006"
"75","Rumelange","0212","CM10012"
"76","Saeul","0707","CM03007"
"77","Sandweiler","0306","CM11006"
"78","Sanem","0213","CM10013"
"79","Schengen","1206","CM08006"
"80","Schieren","0609","CM02009"
"81","Schifflange","0214","CM10014"
"82","Schuttrange","0307","CM11007"
"83","Stadtbredimus","1207","CM08007"
"84","Steinfort","0110","CM09009"
"85","Steinsel","0308","CM11008"
"86","Strassen","0309","CM11009"
"87","Tandel","0901","CM04002"
"88","Troisvierges","0504","CM01003"
"89","Useldange","0708","CM03008"
"90","Vallée de l'Ernz","0610","CM02010"
"91","Vianden","0903","CM04003"
"92","Vichten","0709","CM03009"
"93","Wahl","0710","CM03010"
"94","Waldbillig","1008","CM06007"
"95","Waldbredimus","1208","CM08008"
"96","Walferdange","0310","CM11010"
"97","Weiler-la-Tour","0311","CM11011"
"98","Weiswampach","0505","CM01004"
"99","Wiltz","0807","CM05006"
"100","Wincrange","0502","CM01005"
"101","Winseler","0808","CM05007"
"102","Wormeldange","1108","CM07008"
